source_center,destination_center,trip_count,median_factor,mean_factor,p75_factor,p90_factor,sla_breach_rate,median_actual_time,median_osrm_time,median_distance,route_types
IND632301AAA,IND606803AAA,11,2.1578947368421053,2.1137223223347625,2.3421052631578947,2.409090909090909,1.0,43.0,19.0,22.8137,['FTL']
IND632301AAA,IND632006AAA,1,5.319230769230769,5.319230769230769,6.928846153846154,7.894615384615385,1.0,76.5,16.5,20.55405,['FTL']
IND632402AAA,IND631102AAA,11,1.5217391304347827,2.0175271739130434,1.71,3.9375,0.8125,35.0,23.0,25.5599,['FTL']
IND635001AAA,IND562132AAA,4,1.4696029776674937,1.9339834407744843,2.4613095238095237,3.40979020979021,0.75,42.0,24.0,25.67725,['FTL']
IND635001AAA,IND636705AAB,4,1.284090909090909,1.1863765763222285,1.3948863636363638,1.5541501976284586,0.5833333333333334,29.5,22.0,23.98655,['FTL']
IND635207AAA,IND635802AAB,1,3.0,3.547278911564626,3.1714285714285717,5.653333333333336,1.0,18.0,7.0,9.3251,['Carting']
IND635601AAB,IND635207AAA,1,2.6666666666666665,2.944444444444444,3.333333333333333,3.7333333333333334,1.0,13.0,6.0,8.944700000000001,['Carting']
IND635601AAB,IND635802AAB,10,2.9545454545454546,3.8496676356051354,5.75,7.660000000000009,0.8541666666666666,18.0,9.0,10.2202,['Carting']
IND635802AAB,IND562132AAA,6,1.5588235294117647,1.6182762865082303,1.8461538461538465,2.1538461538461537,0.7804878048780488,40.0,25.0,28.9087,['FTL']
IND635802AAB,IND635601AAB,10,2.2777777777777777,2.230873015873016,2.9642857142857144,3.1666666666666665,0.84,14.5,7.0,9.73115,['Carting']
IND636005AAA,IND636005AAC,1,5.083333333333333,5.083333333333333,5.083333333333333,5.083333333333333,1.0,61.0,12.0,15.441,['Carting']
IND636005AAA,IND636016AAA,4,1.85,1.8572916666666666,2.1666666666666665,2.466666666666667,0.75,17.5,9.5,10.3606,['Carting']
IND636016AAA,IND636402AAA,1,1.198717948717949,1.4327616827616827,1.6713286713286712,1.9805194805194803,0.5,15.5,13.5,11.28565,['Carting']
IND636016AAA,IND637211AAA,15,1.4,1.4250753011465085,1.8166666666666667,2.238095238095239,0.5466666666666666,13.0,10.0,9.8272,['Carting']
